aid,replicate,roc,pr,dpr,baseline
482894,0,0.6626104158998896,0.6356964604991835,0.13689550126656957,0.4988009592326139
507074,0,0.9019045857988166,0.910259681993655,0.41025968199365503,0.5
507077,0,0.7591531065088757,0.7787260389848113,0.2787260389848113,0.5
485367,0,0.5726496704705325,0.44606733151625066,0.09606733151625069,0.35
1708,0,0.48468999619627234,0.3967507473536899,-0.027345638188478738,0.42409638554216866
2230,0,0.7120638200183654,0.6080291139575605,0.2349721191389077,0.37305699481865284
493248,0,0.5286763734228693,0.5309155022389653,0.03091550223896533,0.5
449749,0,0.5895203224660046,0.5855972607659512,0.10033868174226829,0.4852585790236829
588344,0,0.45738636363636365,0.48587249165128704,-0.021819816041020623,0.5076923076923077
588811,0,0.675706771860618,0.7010494273621712,0.20104942736217124,0.5
588345,0,0.5516266613767109,0.5577291005174597,0.05772910051745972,0.5
602235,0,0.5383680555555556,0.5088726004058134,0.008872600405813391,0.5
602386,0,0.6233,0.6228542368468394,0.12285423684683938,0.5
602234,0,0.5808680555555555,0.5917229204443545,0.09172292044435448,0.5
602374,0,0.6315016162209814,0.6557764440872945,0.15880674711759757,0.49696969696969695
652135,0,0.7868939093671555,0.7870293473629675,0.2870293473629675,0.5
1053173,0,0.6739224137931035,0.6554263197283664,0.1571564235345948,0.4982698961937716
48288,0,0.7604062604062605,0.789830282424699,0.2930560888763119,0.4967741935483871
52163,0,0.5306122448979592,0.5269323375937536,0.026932337593753575,0.5
218702,0,0.6647171927575709,0.6136422126378276,0.11364221263782759,0.5
310904,0,0.711309523809524,0.6645834690172265,0.1716257225383533,0.49295774647887325
404304,0,0.37322654462242555,0.40551209978074576,-0.08646650984492271,0.4919786096256685
456868,0,0.5108695652173914,0.5549467764790013,0.0655850743513417,0.48936170212765956
899,0,0.6664709089106947,0.6422575173455827,0.14977003821369622,0.49248747913188645
881,0,0.6094233026083777,0.5394416511854131,0.14252347902813362,0.3969181721572795
1394,0,0.6147446930579461,0.6541730437318825,0.15716705570793038,0.49700598802395207
1540,0,0.6793439077144916,0.6460292836719813,0.15609639776594103,0.4899328859060403
1750,0,0.6102941176470588,0.5629270148699193,0.06663071857362296,0.4962962962962963
521,0,0.6132478632478633,0.4140520418681225,0.07227988996938833,0.34177215189873417
883,0,0.7165307884863894,0.7010265862516,0.20186186857702598,0.499164717674574
485349,0,0.5343981362026069,0.3659356865836485,0.03109112699815625,0.33484455958549225
1215,0,0.7328752578570562,0.6888571969974701,0.3088950041808349,0.3799621928166352
2572,0,0.6372536222425271,0.5809610287922039,0.16206619813266737,0.41889483065953653
689,0,0.5139751552795031,0.4446717792127338,0.13123894339183828,0.31343283582089554
2161,0,0.5556258790436006,0.5638940011759679,0.09643837987419274,0.46745562130177515
2364,0,0.8025515176830966,0.7676630988572266,0.26898236007094695,0.49868073878627966
488789,0,0.5061351974418086,0.47951891923857537,-0.007550046278666012,0.4870689655172414
463120,0,0.6603682170542635,0.48890919187116055,0.17955667388554902,0.30935251798561153
488785,0,0.5531609195402298,0.5854351724103992,0.08829231526754205,0.49714285714285716
493182,0,0.8010174992324898,0.8025027887318734,0.3025027887318734,0.5
488921,0,0.7245242642897567,0.5825013203196163,0.23022859304688903,0.3522727272727273
504729,0,0.7235608516603873,0.7537246403136124,0.2817620234911825,0.4719626168224299
488835,0,0.5485005553498704,0.5820643407398338,0.08546570128405151,0.4965986394557823
720033,0,0.8141233766233765,0.7748956610148185,0.2844498011422071,0.49044585987261147
720044,0,0.8829925348912692,0.8835594495914941,0.3867441629672903,0.4968152866242038
720046,0,0.8667640376501136,0.8448797208712318,0.34806443424702793,0.4968152866242038
