aid,replicate,roc,pr,dpr,baseline
720310,5,0.642949967511371,0.5997581116756866,0.11568167855466749,0.4840764331210191
720312,5,0.849886400519312,0.7984119564842487,0.30159666986004485,0.4968152866242038
720319,5,0.756247971437845,0.724516051500245,0.22770076487604118,0.4968152866242038
720323,5,0.8401493021746187,0.8256282558124359,0.3288129691882321,0.4968152866242038
720329,5,0.7506587615283268,0.6540209861839951,0.21453054032412244,0.4394904458598726
720331,5,0.8501623376623377,0.8025618672551005,0.312116007382489,0.49044585987261147
720339,5,0.7224926971762414,0.688626749623407,0.19181146299920315,0.4968152866242038
720354,5,0.6802986043492373,0.6385829593307619,0.1417676727065581,0.4968152866242038
720357,5,0.6359649122807017,0.6256813025329551,0.14160486941193595,0.4840764331210191
720359,5,0.7909769555339176,0.752563493790912,0.2557482071667082,0.4968152866242038
720361,5,0.8824675324675324,0.8526288287118959,0.36218296883928447,0.49044585987261147
720370,5,0.6955316373124592,0.6504991340435267,0.18553098117728462,0.46496815286624205
720373,5,0.8819805194805195,0.867283274340972,0.3768374144683605,0.49044585987261147
720384,5,0.8331707317073171,0.8203524229088558,0.34264541653942904,0.47770700636942676
720392,5,0.7789148797920727,0.7306250923080415,0.2465486591870224,0.4840764331210191
720395,5,0.8283024991885751,0.8150288582294676,0.31821357160526376,0.4968152866242038
720421,5,0.6942820012995452,0.6655704735323051,0.18149404041128603,0.4840764331210191
720422,5,0.6738211382113821,0.6626724641515954,0.18496545778216866,0.47770700636942676
720427,5,0.7832792207792207,0.74940718926316,0.2589613293905485,0.49044585987261147
720439,5,0.5807342430149447,0.5748334515390716,0.0907570184180525,0.4840764331210191
720442,5,0.8176948051948051,0.8155725014162545,0.325126641543643,0.49044585987261147
720445,5,0.761278805582603,0.7736968031662945,0.2768815165420907,0.4968152866242038
720446,5,0.6,0.5651534099236469,0.08744640355422018,0.47770700636942676
720450,5,0.7036676403765012,0.6270159779928177,0.1302006913686139,0.4968152866242038
720453,5,0.8127231418370658,0.7703193850894785,0.2735040984652747,0.4968152866242038
720021,5,0.600487012987013,0.578157580197936,0.08771172032532448,0.49044585987261147
720463,5,0.860434923726063,0.8376920731882467,0.34087678656404286,0.4968152866242038
720473,5,0.7790280495759947,0.707892091614208,0.24292393874796592,0.46496815286624205
720478,5,0.7097560975609756,0.6320860920990069,0.15437908572958015,0.47770700636942676
720481,5,0.7570731707317073,0.70051473664003,0.2228077302706032,0.47770700636942676
720482,5,0.6628134158254639,0.6454273617675426,0.17408978214970816,0.4713375796178344
1207589,5,0.5916430771421959,0.545135160671595,0.045135160671594954,0.5
1207591,5,0.6000474653502943,0.5926721304672475,0.09376145508598394,0.4989106753812636
1207592,5,0.5222177106136572,0.5243237405300898,0.024323740530089788,0.5
1438147,5,0.6095609756097562,0.6265206086597036,0.13055286672421973,0.4959677419354839
1501337,5,0.376798285889195,0.42108166108385725,-0.07891833891614275,0.5
31668,5,0.5303056318681318,0.3225651328414132,0.005491962109705872,0.3170731707317073
482894,6,0.5444423997055576,0.5911105382319259,0.09230957899931203,0.4988009592326139
507074,6,0.8941383136094674,0.9082916696522896,0.4082916696522896,0.5
507077,6,0.7689534023668638,0.7655948466759548,0.2655948466759548,0.5
485367,6,0.5891393496745204,0.46532747647520767,0.11532747647520769,0.35
1708,6,0.4393780905287181,0.37796212222442666,-0.04613426331774201,0.42409638554216866
2230,6,0.6679866850321394,0.5376797568049918,0.16462276198633896,0.37305699481865284
493248,6,0.5708845705011641,0.5643619159567561,0.06436191595675611,0.5
449749,6,0.6023488206797224,0.613877238030369,0.12861865900668606,0.4852585790236829
588344,6,0.45809659090909094,0.49492488099616777,-0.012767426696139894,0.5076923076923077
588811,6,0.7016765285996055,0.7612794886378549,0.2612794886378549,0.5
588345,6,0.5220800546628755,0.5539593092019266,0.0539593092019266,0.5
602235,6,0.5233680555555555,0.5218325665030408,0.021832566503040773,0.5
602386,6,0.5783,0.5836819083996427,0.08368190839964273,0.5
602234,6,0.5486458333333333,0.5758074584765034,0.07580745847650339,0.5
602374,6,0.5900675874228622,0.5891347819541419,0.09216508498444498,0.49696969696969695
652135,6,0.7639054036200291,0.7381455103845932,0.2381455103845932,0.5
1053173,6,0.6407926245210728,0.6450349819434386,0.14676508574966696,0.4982698961937716
48288,6,0.6658341658341658,0.7225011738198979,0.22572698027151078,0.4967741935483871
52163,6,0.49632653061224485,0.4713702818014551,-0.028629718198544873,0.5
218702,6,0.5296426854670726,0.5037947368080512,0.0037947368080512023,0.5
310904,6,0.6736111111111112,0.6564124587736743,0.16345471229480102,0.49295774647887325
404304,6,0.3856979405034325,0.41848955797263765,-0.07348905165303082,0.4919786096256685
456868,6,0.44524959742351045,0.4470229017177244,-0.04233880040993515,0.48936170212765956
899,6,0.6691154970760234,0.6562072077106289,0.16371972857874245,0.49248747913188645
881,6,0.6360083505829486,0.5599314600779823,0.16301328792070285,0.3969181721572795
1394,6,0.5629661503155479,0.599354962170958,0.10234897414700589,0.49700598802395207
1540,6,0.6872746935832732,0.6953592432308313,0.20542635732479103,0.4899328859060403
1750,6,0.5624451273046531,0.5475870129497246,0.05129071665342827,0.4962962962962963
521,6,0.587962962962963,0.5445013151687735,0.20272916327003937,0.34177215189873417
883,6,0.7163611082086854,0.7090684582809181,0.20990374060634415,0.499164717674574
485349,6,0.5582158886091017,0.3776604010159658,0.04281584143047357,0.33484455958549225
1215,6,0.6418668850867613,0.5602422244692717,0.18028003165263656,0.3799621928166352
2572,6,0.6317974154810078,0.5714191942796898,0.15252436362015326,0.41889483065953653
689,6,0.5812629399585921,0.3770599263683728,0.06362709054747728,0.31343283582089554
2161,6,0.4926160337552743,0.5323208012343033,0.0648651799325281,0.46745562130177515
2364,6,0.8641569200779727,0.8213500108278587,0.3226692720415791,0.49868073878627966
488789,6,0.4672417639622221,0.46563638906636673,-0.021432576450874652,0.4870689655172414
463120,6,0.6921027131782945,0.5602574263965062,0.2509049084108947,0.30935251798561153
488785,6,0.5954806687565308,0.607803940490661,0.11066108334780383,0.49714285714285716
493182,6,0.8437349239068462,0.8357175025191117,0.3357175025191117,0.5
488921,6,0.75139714204867,0.651226802061858,0.2989540747891307,0.3522727272727273
504729,6,0.7488828528870587,0.7551491059027362,0.2831864890803063,0.4719626168224299
488835,6,0.6871529063309885,0.687306601155865,0.19070796170008264,0.4965986394557823
