,mean,std
aid,60158140.98360657,1.2271252383820943e-08
roc,71.11419478051985,0.29192659750459704
pr,68.56837398280952,0.2438989730411099
dpr,20.842722807031084,0.24389897304110975
baseline,47.725651175778424,0.0
